unique_id,speaker,sentence,1_opinion,2_mp,3_mp_context,4_stance_nli,5_stance_nli_context
19861216_490_1,MR. TRUMAN.,"""Well, [unintelligible] you're right about how the rest of the world is behaving.""",yes,no,,,
19861216_515_4,MR. JOHNSON.,"""Although I favored [a tilt] last time, I feel a bit more strongly about it this time.""",yes,yes,utterance,contradiction,utterance
19870211_417_2,CHAIRMAN VOLCKER.,"""That's one of my language changes here: not just passively ""could"" but ""should.""""",no,,,,
19870331_265_12,MR. FORRESTAL.,"""But even if our trading partners don't make those moves, if the dollar were to fall somewhat more I'd be prepared to go ahead unilaterally on our own.""",yes,yes,,contradiction,utterance
19870331_492_1,MR. BLACK.,"""That's the best one if we don't go with 4 to 7 percent.""",yes,yes,-5 sentences,ambiguous,
19870519_88_6,MR. JOHNSON.,"""And I've never gotten a really satisfactory explanation of which one makes the most sense.""",no,,,,
19870922_240_2,CHAIRMAN GREENSPAN.,"""I, personally, would go along with those vague notions of Governor Johnson on the issue of not fighting the world to try to get $600 million in this maintenance period, because it may be a futile endeavor.""",yes,yes,utterance,,utterance
19880210_517_1,VICE CHAIRMAN CORRIGAN.,"""Yes, especially if Don thinks that the numbers are coming in a little higher anyway.""",no,,,,
19880210_584_1,VICE CHAIRMAN CORRIGAN.,"""You're calling a spade a spade.""",no,,,,
19880329_387_17,MR. HOSKINS.,"""If we don't get that, then I think we are going to get the inflation forecast that my own staff is turning out, which is very similar to yours.""",yes,no,,,
19880630_184_1,MR. JOHNSON.,"""No, he is very responsible; I respect his judgment.""",yes,no,,,
19890328_297_2,MR. JOHNSON.,"""That's all I need.""",no,,,,
19890328_331_3,MR. FORRESTAL.,"""But even if it is not a pause, even if we are seeing some real slowing, I think the risks of recession with a firmer policy are minimal.""",yes,yes,sentence,entailment,sentence
19891003_414_5,MR. GUFFEY.,"""I wanted that last time, as you may remember, and I've seen no accumulating evidence that suggests we are any closer to a recession at this meeting than we were at the last meeting.""",yes,yes,utterance,contradiction,-5 sentences
19891114_206_3,MR. KOHN.,"""But the other factor was that policy had just eased and thinking about reversing that action after it had just been taken seemed so strange.""",yes,yes,,contradiction,
19891219_99_5,MR. MELZER.,"""I think I know what would happen to the expectational effects and the credibility and so forth.""",yes,no,,,
19891219_284_1,MR. LAWARE.,"""Well, we better make sure that we can do it.""",yes,no,,,
19891219_452_1,MR. BLACK.,"""If we didn't approve it, Sam would end up having to buy some dollars with some of his earnings on foreign currencies to stay below the limit.""",no,,,,
19901002_301_1,CHAIRMAN GREENSPAN.,"""If we believe that the oil price goes up and the [unintelligible] comes down and there's no wage effect, it's a complete washout.""",yes,no,,,
19910206_434_1,MR. MELZER.,"""I'm just saying that if it were up to me, in this environment where we're worried about getting the money growth path, I'd hate to be sitting here three months from now with a slope on that line of total reserves that was still totally flat as it has been over the last year.""",yes,yes,sentence,contradiction,
19910206_435_1,VICE CHAIRMAN CORRIGAN.,"""That's part of the reason why I made the suggestion about trying to get some reserves out through the discount window in a way in which Peter could do a pretty good job of protecting against--""",no,,,,
19910703_189_1,MR. HOSKINS.,"""The District isn't showing anything much different from what anybody else's District seems to be showing, at least from what I've heard here.""",no,,,,
19920701_266_8,MR. MULLINS.,"""The difficulty I see--and the reason I would agree with your proposal--is that it's simply difficult to send a clear signal in the current environment with the context of a distorted M2; it's difficult to separate the policy target from the questions of distortions of M2.""",yes,yes,sentence,contradiction,utterance
19920818_202_5,MR. JORDAN.,"""I would be with John LaWare on preferring symmetric language at this point because I think things are in motion except--and this is not a policy issue but a communications issue--if we went with symmetric now, when that is released in the middle of October after the next meeting I would expect that the headlines would read that the Committee had tightened.""",yes,yes,sentence,contradiction,utterance
19930203_250_2,MR. MELZER.,"""I think some reduction in the M2 range is important.""",yes,yes,sentence,entailment,sentence
19930203_315_12,MR. ANGELL.,"""I don't have the courage to vote to tighten at this point, Mr. Chairman, because I'm hopeful that this will get reversed.""",yes,yes,sentence,contradiction,sentence
19930323_25_5,CHAIRMAN GREENSPAN.,"""But I personally don't feel comfortable with anything new in here.""",yes,no,,,
19930707_168_1,MR. PRELL.,"""Certainly, this would be the case going back several years before this, but I don't have data going back much earlier.""",no,,,,
19940204_206_9,MR. KELLEY.,"""Number one is that consumer debt seems to be accelerating, and this is at a time when the ratio of consumer debt to worth is still at an all-time high.""",no,,,,
19940706_450_4,CHAIRMAN GREENSPAN.,"""If the CPI came in at 0, we probably wouldn't move.""",yes,yes,,,
19940927_143_12,MR. HOENIG.,"""Their margins are coming under pressure and how much more they can be squeezed is on their minds.""",no,,,,
19950201_937_19,CHAIRMAN GREENSPAN.,"""But now that issue is moot because we have a Treasury take-out.""",no,,,,
19950328_137_1,CHAIRMAN GREENSPAN.,"""That sounds like a precedent to me!""",yes,no,,,
19950706_134_1,MS. JOHNSON.,"""I did not mean to suggest any pejorative notion by using the word ""deflation.""""",no,,,,
19950706_292_5,MS. YELLEN.,"""I think we are dealing with an imperfect law that asks us to communicate our objectives in an imperfect way.""",yes,no,,,
19960131_261_14,MR. PARRY.,"""I see no reason to change now.""",yes,yes,utterance,contradiction,utterance
19960131_269_4,MR. STERN.,"""There may be an opportunity here, were we to do nothing, to do a bit better on inflation.""",yes,yes,utterance,contradiction,utterance
19960521_140_13,MR. BOEHNE.,"""On balance, I prefer symmetry mainly because I can't imagine that you, Mr. Chairman, would make a decision to move toward tightening in this particular environment without a consultation with the Committee.""",yes,yes,sentence,contradiction,utterance
19960703_393_8,MS. PHILLIPS.,"""Like Governor Meyer, I am uncomfortable with the current ranges, but I do not want to use them as a monetary policy signal.""",yes,yes,sentence,neutral,utterance
19960703_478_5,VICE CHAIRMAN MCDONOUGH.,"""I think the Committee could give certain guidelines for the Desk and the Chairman to follow.""",yes,no,,,
19970325_17_6,MR. PRELL.,"""Another factor to keep in mind is that we have had a surge in income growth over the past year or so.""",no,,,,
19970930_78_17,MR. BOEHNE.,"""But I think the time has come for us to be less defensive, and the way we do that is to adopt the stance of being open minded and alert and let the truth, whatever it is, fall out wherever it might.""",yes,no,,,
19980204_287_3,MS. MINEHAN.,"""Maybe it will be more productive this time in the sense that we will have a longer period of low inflation to observe.""",yes,,,,
19980701_308_15,MS. MINEHAN.,"""In that regard, I would retain the tilt toward tightening as well.""",yes,yes,sentence,entailment,sentence
19981222_73_1,MR. BROADDUS.,"""Let me just respond to that, Mike.""",no,,,,
19991116_33_3,MR. JORDAN.,"""Oil prices are among the many things that I have absolutely no confidence in my ability to predict, so I will go with your forecast.""",yes,no,,,
19991221_139_2,MR. GUYNN.,"""I hope that won't be interpreted as any lack of enthusiasm for getting back to our work after the first of the year.""",yes,yes,utterance,,
20001219_117_5,MR. MOSKOW.,"""So, I don't see any good side to it.""",yes,no,,,
20001219_122_6,MR. GUYNN.,"""So I think your recommendation is the right one.""",yes,yes,utterance,contradiction,utterance
20011211_44_2,MR. STOCKTON.,"""But I don't think the Blue Chip forecast or our forecast is consistent with what is currently built into fed funds futures.""",yes,yes,,,utterance
20011211_180_12,MR. STERN.,"""And at least in my view our economy has a history of being resilient and largely self-correcting.""",yes,yes,utterance,contradiction,utterance
20020319_171_3,VICE CHAIRMAN MCDONOUGH.,"""And I would point out that if the next move has to be up, which I think it will be, we can certainly move from a balanced balance of risks statement.""",yes,yes,-5 sentences,contradiction,-5 sentences
20020924_192_5,VICE CHAIRMAN MCDONOUGH.,"""That's a lot easier to convey in a couple of words in the statement.""",yes,no,,,
20030129_140_1,CHAIRMAN GREENSPAN.,"""You know, that's the issue of risk aversion right there.""",no,,,,
20030129_263_13,MR. BROADDUS.,"""So I would ask what sort of adjustments that would induce in the U.S. economy.""",no,,,,
20030812_18_5,MR. KOS.,"""I don't believe the size of those countries, which is fairly modest, would be large enough to explain what we've seen.""",yes,no,,,
20030812_154_6,MR. KOHN.,"""But like Governor Bernanke, I think we need to work on how we talk about our assessments and judgments regarding the economy and our objectives going forward, without perhaps being very specific.""",yes,no,,,
20030812_200_2,MR. HOENIG.,"""If we just repeat what we said before, we're signaling to everyone that policy is on hold.""",yes,,,,
20030915_6_4,CHAIRMAN GREENSPAN.,"""Let's see if we can get most of that out of the way and completed this evening, if possible.""",no,,,,
20030915_129_8,MR. STERN.,"""Second, I think we should try to accelerate the release of the minutes whatever we do with the statement.""",yes,no,,,
20031028_136_1,MR. REINHART.,"""Well, I would say that, on one level, rapid growth in aggregate supply only raises the bar for the growth of aggregate demand that the Committee should desire to get the outcomes it wants.""",yes,no,,,
20040316_140_12,MR. KOHN.,"""I don't expect much to happen, but in my cost-benefit analysis, the downside risks get a little more weight than the upside risks.""",yes,yes,utterance,contradiction,utterance
20040630_147_2,MS. JOHNSON.,"""But, you know, when I read my own briefing I realize what it means--that this problem is going to continue to grow.""",yes,,,,
20040810_157_1,CHAIRMAN GREENSPAN.,"""That's not what I said.""",no,,,,
20040921_95_23,CHAIRMAN GREENSPAN.,"""The problem here is that there is a wide consensus that this is the time we want the devaluation of the dollar to happen, not later when the economy may be in a weakened structural situation.""",yes,,,,
20041110_127_9,MR. POOLE.,"""If I think about where we were six months ago, I thought it was extraordinarily unlikely that we were going to remain at 1 percent on the funds rate.""",yes,yes,sentence,entailment,utterance
20050503_12_5,MR. KOS.,"""The thing I would note is that GM is a smaller component of the BBB index than it would be of the high-yield index.""",no,,,,
20060510_154_9,MR. STERN.,"""I'm not exactly sure where right is, and so as a consequence of that I want to make sure that we have some flexibility going forward and that we continue to emphasize the data-driven nature of our decisions.""",yes,yes,utterance,entailment,utterance
20061025_179_1,MR. LACKER.,"""Governor Kohn, concerning the assessment of risk, I think I heard you say about alternative B+ that you weren't sure what effect it would have.""",no,,,,
20061212_220_13,VICE CHAIRMAN GEITHNER.,"""That distinction is important, I think, because I don't know how you get into repeating or summarizing your past position without inevitably getting into the broader set of choices that we're going to be debating in the Committee.""",yes,no,,,
20070321_238_4,CHAIRMAN BERNANKE.,"""I did not go to negotiate, I went to inform, and therefore I don't have any commitments to bring to you.""",yes,no,,,
20071031_267_9,VICE CHAIRMAN GEITHNER.,"""Bill, I think you asked a good question.""",no,,,,
20080130_99_1,MR. MADIGAN.,"""Well, that is a hard question, actually.""",no,,,,
20080318_105_2,VICE CHAIRMAN GEITHNER.,"""I think there was a pretty big change this morning at least in risk perceptions today across a bunch of markets.""",no,,,,
20080430_289_7,MR. ROSENGREN.,"""I think we could be a little more innovative--I agree with President Lacker's point--but I think that the H.4.1 does seem to have an effect; and if we will be doing all these other things, taking another look at the H.4.1 and making sure that we don't have more untapped flexibilities probably makes a lot of sense.""",yes,no,,,
19770118_107_1,CHAIRMAN BURNS.,"""The only way I've ever understood the whole swap network is in the language of loans.""",no,,,,
19770118_487_10,CHAIRMAN BURNS.,"""I would say that, for the coming month, it would be an unacceptable increase.""",yes,yes,utterance,,utterance
19770215_381_2,MR. PARTEE.,"""Unfortunately, the people who comment on this don't recognize this--it stirs up concerns.""",no,,,,
19770621_203_9,MR. WINN.,"""Normally, you would think that would occur rather rapidly.""",no,,,,
19771018_111_4,MR. KICHLINE.,"""In our flow of funds forecast, we have the thrift institutions actually liquidating liquid assets to fund their outstanding commitments in the shorter run and relying quite a bit more heavily on Home Loan Bank borrowing.""",no,,,,
19771018_174_8,MR. WINN.,"""Now does this represent a shift in consumer preference towards lower prices, or [a decision that] a [used] car that only goes 20,000 more miles doesn't really need a 50,000-mile tire?""",no,,,,
19771018_188_2,MR. ZEISEL.,"""I certainly hope so.""",yes,no,,,
19780718_338_1,MR. MAYO.,"""Alternative C is acceptable to me, Mr. Chairman.""",yes,yes,utterance,entailment,utterance
19781017_202_11,CHAIRMAN MILLER.,"""I'm just expressing my personal opinion.""",no,,,,
19781121_328_2,VICE CHAIRMAN VOLCKER.,"""In the short run, the Committee seeks to achieve bank reserve and money market conditions that are broadly consistent with the longer-run ranges for the money aggregates cited above, while supporting the objective of stabilizing the foreign exchange value of the dollar.""",no,,,,
19790206_320_1,MR. WALLICH.,"""Well, if Steve is right, we should have a month of very large increases [in monetary growth].""",yes,yes,,,
19790320_52_5,MR. BALLES.,"""Even if we look at the latest monthly growth numbers on MI, which includes all these money market funds, RPs, commercial paper, and so forth, the percentage growth now is less than half--or at least it's no bigger than half--what it was last fall.""",no,,,,
19790417_200_13,CHAIRMAN MILLER.,"""We're going to have very little room for dissent when we're through here!""",yes,yes,utterance,,
19790417_220_3,CHAIRMAN MILLER.,"""I knew we weren't going to get a vote today!""",no,,,,
19790522_320_7,MR. HOLMES.,"""A total of 5-1/2 billion Deutschmarks were involved in that and the Treasury had spent 1.2 billion of that amount in intervention earlier this year.""",no,,,,
19790711_36_1,MR. COLDWELL.,"""It was just a happy coincidence that they happened to have securities to sell at a higher price.""",no,,,,
19790711_55_12,MR. KICHLINE.,"""And it's quite clear to us that if we had lower rates of money growth over an extended period of time, we would get lower rates of inflation.""",yes,yes,sentence,,
19791120_300_3,MR. SCHULTZ.,"""It seems to me that autos and housing are very weak and the rest of the economy continues to hang up there.""",yes,yes,utterance,contradiction,utterance
19791120_398_2,CHAIRMAN VOLCKER.,"""We just have to reach a consensus on how we phrase this.""",no,,,,
19800109_293_2,MR. AXILROD.,"""We showed the actual growth rate of M1 for 1979 of 5.5 percent and I meant to show also in parentheses, and did not, the growth of M1 as if there had been no ATS accounts.""",no,,,,
19800109_414_2,MR. WALLICH.,"""So we would have to anticipate the rise in the personal income tax as we cut back on the social security tax increase, if we didn't want to increase the deficit.""",yes,no,,,
19800205_274_2,MR. GUFFEY.,"""The staff's forecast is a bit more pessimistic than our forecast, and that largely centers on two differences.""",no,,,,
19800205_276_15,MR. PARTEE.,"""I'd have inflation a little higher than the staff has--at 9 to 10 percent, say, for the deflator and 10 to 12 percent for the CPI in the year ahead.""",yes,no,,,
19800205_374_9,MR. WILLES.,"""But the Bluebook says on the previous page that for the last six months M-1B growth has only been 6.1 percent, so the drop isn't as big as it might appear from the [table] on page 6.""",no,,,,
19800318_132_1,MR. AXILROD.,"""Well, our views are probably marginally different.""",yes,yes,utterance,,
19800422_113_4,CHAIRMAN VOLCKER.,"""Some people don't believe the underlying theory, so they have no reason to believe it.""",no,,,,
19800422_160_6,MR. WILLES.,"""Therefore, it's a question of trying to minimize perceived risk.""",yes,yes,utterance,contradiction,utterance
19800709_489_1,CHAIRMAN VOLCKER.,"""Well, I can't remember why either.""",no,,,,
19800916_302_3,MR. AXILROD.,"""So in the Bluebook where we have the 7-1/4 percent [growth rate], that is the target necessary to hit a particular level over the year.""",no,,,,
19801021_48_11,CHAIRMAN VOLCKER.,"""And they are prepared to do so if we agree in principle.""",no,,,,
19801219_124_1,MR. PARDEE.,"""But it is important to know that the limit on how much we can buy in Deutschemarks, which is $1.5 billion, has been set by the Committee.""",no,,,,
19810203_490_6,MR. BLACK.,"""But we wouldn't have the problem of the banks being able to borrow and [raise] the reserve targets.""",no,,,,
19810203_902_12,MR. MAYO.,"""I would say that is fairly optimistic on spending cuts.""",yes,no,,,
19810331_446_1,CHAIRMAN VOLCKER.,"""I will tell you what my personal attitude toward setting those ranges is.""",no,,,,
19810518_60_2,MR. PARTEE.,"""And that's always hard, indeed impossible, to predict or to time.""",yes,yes,utterance,,
19810518_306_9,MR. WINN.,"""That would not be very helpful in terms of our longer-run objectives.""",yes,yes,utterance,entailment,
19810707_886_6,MR. ROOS.,"""So, I think they are two different things.""",yes,yes,utterance,,utterance
19810707_941_1,CHAIRMAN VOLCKER.,"""Yes, we will have a consultation before the testimony to confirm all of this.""",no,,,,
19811006_58_1,VICE CHAIRMAN SOLOMON.,"""So, if we went ahead with came in again, would this change your attitude about giving one to""",no,,,,
19811006_521_1,CHAIRMAN VOLCKER.,"""I'm not leaning either way.""",yes,yes,-5 sentences,,
19811117_198_15,MR. KEEHN.,"""I admittedly come from an area where there is a very heavy concentration of industries that have been most affected.""",no,,,,
19820202_203_2,MR. AXILROD.,"""That is one of the reasons we thought [M1] would grow in November and December, way back when.""",no,,,,
19820330_628_2,CHAIRMAN VOLCKER.,"""I don't have to repeat it again.""",no,,,,
19820518_259_3,MR. ROOS.,"""Even if money growth from April to June is zero, second-quarter growth of M1 will be somewhere between 3 and 4 percent.""",no,,,,
19820701_48_6,VICE CHAIRMAN SOLOMON.,"""Stepping back, I think it's worth mentioning that our forecast is significantly different from Jim's.""",yes,no,,,
19820701_222_2,CHAIRMAN VOLCKER.,"""Now, whether we actually will extend any money before the weekend is something of an open question.""",no,,,,
19821005_175_1,CHAIRMAN VOLCKER.,"""Let me say in that connection--and I should have said it more clearly before--that I think this situation is manageable.""",yes,no,,,
19821005_605_6,CHAIRMAN VOLCKER.,"""So, I think it works both ways.""",yes,no,,,
19821116_98_2,CHAIRMAN VOLCKER.,"""If there is a lot of discomfort about doing it today, it will be done presumably on Thursday or Friday.""",no,,,,
19821116_263_11,MR. RICE.,"""If we wait too long, we may not make effective use of this credibility.""",yes,yes,utterance,contradiction,utterance
19821221_5_1,MR. STERNLIGHT.,"""I can do mine now, Mr. Chairman.""",no,,,,
19821221_95_1,MR. CORRIGAN.,"""I guess I understand.""",no,,,,
19821221_144_1,MR. ROOS.,"""Well, we may be between a rock and a hard place.""",yes,yes,-5 sentences,,
19821221_405_12,CHAIRMAN VOLCKER.,"""In fact, the existing $1-1/4 billion of the first section of Treasury money is to be [repaid] quite promptly out of the Fund drawings in a matter of weeks, if all goes well and according to plan.""",no,,,,
19830329_617_1,CHAIRMAN VOLCKER.,"""Well, it's not low relative to what it has been in the past when currency wasn't going up this rapidly.""",no,,,,
19830524_217_8,MR. PARTEE.,"""And this may be now a world-wide event.""",yes,yes,utterance,,utterance
19830713_483_1,MR. GRAMLEY.,"""The arrow is nice and straight; we just don't know which way it's going.""",no,,,,
19830713_957_4,MR. ROBERTS.,"""And I would be in favor of the 4 to 8 percent.""",yes,yes,,contradiction,
19830823_82_1,MR. GUFFEY.,"""I'd like to step back.""",yes,yes,utterance,,
19831115_18_6,MR. STOCKTON.,"""So, we get the deceleration occurring in three years but we have to spend the first two years--the next two years--holding down those things that we think are apt to boost inflation.""",no,,,,
19831115_463_3,MR. KICHLINE.,"""There is still a good deal of weakness in a couple of markets such as copper and I guess silver and lead.""",no,,,,
19840131_105_2,MR. BALLES.,"""The anecdotal evidence from some of our directors, which of course isn't definitive, has been pretty constant in recent months.""",no,,,,
19840327_660_1,VICE CHAIRMAN SOLOMON.,"""No, I mean the third sentence where you have ""greater reserve restraint.""""",no,,,,
19840327_682_4,CHAIRMAN VOLCKER.,"""I don't intend to do so, but--.""",no,,,,
19840522_255_1,MR. PARTEE.,"""I think ""B"" is all right.""",yes,yes,utterance,entailment,
19840821_418_2,CHAIRMAN VOLCKER.,"""I might say one other thing.""",no,,,,
19841002_35_1,MR. CROSS.,"""I would welcome an increase of $1 billion.""",yes,no,,,
19841218_199_1,CHAIRMAN VOLCKER.,"""We can provide a perfect monetary policy if you say we just can't provide a perfect economy.""",yes,yes,sentence,,
19850213_480_3,MR. BALLES.,"""To slow money down from the rapid growth rates of December and January would require a considerable increase in interest rates, which I don't want to see, particularly in view of the precarious situation of agricultural loans, international loans--the whole shooting match.""",yes,yes,sentence,contradiction,sentence
19850820_12_1,MR. WALLICH.,"""If I may comment on this: The idea of shortening [maturities] is that they are more liquid and investors can get out more rapidly, which is a concern.""",yes,no,,,
19851105_367_1,MR. PARTEE.,"""That seems to be true of everything.""",yes,,,,
19851217_160_3,MR. AXILROD.,"""One thing you could think of is that in a deflationary period, financial assets become more ""valuable"" than physical assets, whereas in an inflationary period it's vice versa.""",no,,,,
19851217_254_1,MR. PARTEE.,"""Well, of course, the same complaint can be made of nominal GNP that Bob made about prices.""",no,,,,
19851217_540_1,MR. AXILROD.,"""You could put it on the line after the first sentence, Mr. Chairman, saying ""taking account of the impact of the a discount rate action should one be taken,"" or something like that.""",yes,no,,,
19860520_163_11,MR. PARRY.,"""It would not necessarily indicate that people are going to be using these [funds] for transaction purposes.""",yes,yes,utterance,,utterance
19860923_91_2,CHAIRMAN VOLCKER.,"""I have no doubt of the volume this could involve should it never involve buying, just rolling over what we have.""",yes,yes,-5 sentences,neutral,-5 sentences
19860923_244_1,MR. RICE.,"""Mr. Chairman, I think the staff's forecast is a good one.""",yes,yes,utterance,,
19870211_42_2,MR. STERNLIGHT.,"""So, one can fold in the new revisions in an orderly way and they wouldn't have the impact that they had in that December period.""",no,,,,
19870211_515_1,CHAIRMAN VOLCKER.,"""Well, it's unusual and I would resist it ordinarily on the basis that we normally use quarters, but that great distortion at year-end--""",yes,no,,,
19870211_705_2,MR. PARRY.,"""We are going to be evaluating changes as to whether or not they are appropriate.""",no,,,,
19870331_172_10,MR. TRUMAN.,"""In neither Germany nor Japan do you have a sense that policy is out ahead of the adjustment process; it's being forced by the exchange rate""",no,,,,
19870519_219_1,MR. ANGELL.,"""Well, it seems to me that a $400 million borrowing assumption should go with the discount rate move to give you ""C.""""",yes,yes,sentence,,
19870519_311_2,MR. JOHNSON.,"""I just think it should be made clear relative to what.""",yes,no,,,
19870818_75_5,MR. PRELL.,"""But that certainly is one of the areas where a surprise would be less shocking to us.""",no,,,,
19870818_186_4,MS. SEGER.,"""The third reason is that I just don't see that the economy is currently boiling.""",yes,yes,utterance,contradiction,utterance
19871103_266_1,VICE CHAIRMAN CORRIGAN.,"""Well, either way; we can come back to that.""",no,,,,
19871216_491_1,MR. ANGELL.,"""If that was the policy, then this morning I presume we should have gone in immediately, acting to keep it at 6-3/4 percent.""",yes,yes,sentence,,sentence
19871216_682_5,MR. MELZER.,"""I really don't know what (3) means.""",no,,,,
19880210_411_1,CHAIRMAN GREENSPAN.,"""Well, let's make sure we are all talking about the same thing.""",no,,,,
19880630_8_18,MR. CROSS.,"""[The intervention sales also were undertaken] to show some resistance to the rise in the dollar, so as not to let it get to levels which are simply going to be unsustainable--because service problems could well disrupt the market again.""",no,,,,
19880630_449_1,MR. JOHNSON.,"""You've got a point on the reserve thing, but on the rates, the funds rate has basically led all the other short rates.""",yes,yes,sentence,neutral,
19890516_360_9,MR. GUFFEY.,"""I would prefer asymmetrical toward restraint as it was last meeting.""",yes,yes,utterance,entailment,utterance
19891003_225_1,MR. KEEHN.,"""I have a question not with regard to Peter's report on the operations but on the seasonal borrowing program.""",no,,,,
19891003_302_3,MR. GUFFEY.,"""With respect to [agriculture], the good news is that the drought has been broken, although crop estimates for the spring-planted crops are a fourth to a third below what would be an average crop.""",no,,,,
19891003_326_13,VICE CHAIRMAN CORRIGAN.,"""It tells me that there are great risks of a renewal of protectionist attitudes in this country.""",no,,,,
19891114_204_1,MR. KOHN.,"""Well, even under alternative A [the funds rate] would still be a point above the discount rate.""",no,,,,
19891219_109_9,MR. FORRESTAL.,"""There is an acceptance now--rightly or wrongly, and I think it's wrongly--that 4-1/2 percent inflation is not all that bad.""",yes,yes,sentence,entailment,sentence
19900515_37_5,MR. PRELL.,"""So, instead of heading south to 4 percent a couple of years from now, we feel the risk is that inflation would be heading north to 5 percent.""",yes,yes,sentence,,sentence
19901002_176_8,MR. KOHN.,"""So, we wouldn't ordinarily expect money demand to react very sharply contemporaneously to slowdowns in nominal GNP.""",no,,,,
19901113_180_1,CHAIRMAN GREENSPAN.,"""We will have minutes at that point and I assume the minutes will explicitly state the purpose of what is being done.""",no,,,,
19901218_109_7,MR. BOEHNE.,"""On the national economy: While the Greenbook forecast of a relatively mild, short-lived recession is plausible, my guess is that it's wrong and that we will have a longer lasting and a more serious recession.""",yes,yes,sentence,contradiction,sentence
19910326_242_1,MR. ANGELL.,"""It seems to me that the staff's forecast is plausible.""",yes,no,,,
19920205_129_16,MR. KELLEY.,"""If there's anything to that, layoffs are going to decline and that should help confidence.""",yes,no,,,
19920701_289_1,CHAIRMAN GREENSPAN.,"""I don't know if I like that but go ahead!""",yes,no,,,
19921117_310_2,MR. WINN.,"""So, if you put it to a vote, it would probably go that way.""",yes,no,,,
19930203_10_2,CHAIRMAN GREENSPAN.,"""The next item on our organizational agenda is the selection of the New York Bank as the Bank to execute transactions for the System Open Market Account.""",no,,,,
19930518_19_3,MS. GREENE.,"""The liquidation that I spoke of--the Japanese investments--will probably at least in the first instance not be U.S. dollars.""",no,,,,
19940706_425_5,CHAIRMAN GREENSPAN.,"""We may end up deciding to do something.""",no,,,,
19941115_241_2,MR. PARRY.,"""I have difficulty relating that to what Governor Lindsey said.""",yes,,,,
19950201_960_1,MR. KOHN.,"""Brian Madigan said he thought the projection of free collateral was $8 to $10 billion over some indefinite period.""",no,,,,
19950328_201_17,MR. BOEHNE.,"""We need to try to distinguish between cyclical increases that are likely to moderate as the cycle matures and increases of a more underlying or core character.""",yes,no,,,
19950523_83_3,MR. BLINDER.,"""As I look at the last four quarters of this forecast, it gives off the aura of a steady state in all aspects except one.""",no,,,,
19950926_220_6,MR. BLINDER.,"""But it is true that we don't know what the fiscal policy is going to be.""",no,,,,
19951115_99_1,MR. FISHER.,"""No, no, I'm not seeking another vote.""",no,,,,
19951115_311_3,MR. MELZER.,"""I believe it maintains a stance of policy that is somewhat restrictive.""",yes,yes,utterance,entailment,utterance
19960703_298_1,MR. MEYER.,"""I came too late to take credit for it""",no,,,,
19961113_28_3,MR. PRELL.,"""Given that we feel that GDP growth may have been underestimated, it is not inconceivable that a part of those revenues could be in consumption expenditures.""",no,,,,
19970205_131_1,CHAIRMAN GREENSPAN.,"""That is about as good a ""Chart Show"" as the staff has presented to this Committee in quite a long time.""",yes,no,,,
19980331_30_5,VICE CHAIRMAN MCDONOUGH.,"""The rest of us play a game where the ratios mean something, but for the Japanese banks they really do not.""",no,,,,
19980929_228_8,CHAIRMAN GREENSPAN.,"""They would take the loan portfolio and point to the vulnerabilities and strengths of the borrowers and give their evaluations of the risks that were involved.""",no,,,,
19990630_116_3,CHAIRMAN GREENSPAN.,"""He would appreciate having any changes in your forecasts by close of business on Wednesday, July 7.""",no,,,,
19990630_128_2,MR. MEYER.,"""Another consideration, given the importance of the monetary aggregates in our decisionmaking, is the less said about them the better.""",yes,,,,
19990824_15_7,MR. FISHER.,"""I would be inclined to pursue it that way--by prohibiting them from using the program.""",yes,no,,,
20000202_333_6,MR. FERGUSON.,"""So a move of 25 basis points seems to me moderate and appropriate.""",yes,yes,sentence,entailment,utterance
20000628_158_19,MR. KOHN.,"""They need to know how much labor to supply to the markets and how to mix capital and labor in the production process in order to end up on the production possibility frontier.""",no,,,,
20010515_31_7,MS. JOHNSON.,"""So in some sense it's not a done deal.""",no,,,,
20021106_173_5,MR. PARRY.,"""I also like the proposal for the ACF.""",yes,no,,,
20030129_289_1,MS. JOHNSON.,"""Well, it's a tough situation.""",no,,,,
20030506_35_5,MR. STOCKTON.,"""Second, some of the revisions that we made to the second half of the year had less to do with the actual data we were seeing on the various spending categories and more with what we were seeing on the production and employment side.""",no,,,,
20030625_36_7,MR. PARRY.,"""One concept that I thought was extremely interesting was the issue raised about changing expectations.""",yes,yes,utterance,,
20031028_243_12,MR. OLSON.,"""That's a component of the Gramlich memo that I find particularly appealing.""",yes,no,,,
20040630_67_2,MS. JOHNSON.,"""[Laughter] But it is hard to see anywhere on earth, with the possible exception of some Asian countries, where the governments themselves perceive the scope of using fiscal policy in that way, whether they could do it well or not.""",no,,,,
20040810_120_2,MS. MINEHAN.,"""I like your concept of ""opportunistic disaccommodation.""""",yes,yes,utterance,entailment,utterance
20050202_108_6,MS. JOHNSON.,"""And the random walk--that is, no change from today--in a statistical sense outperforms on average any of the alternatives that have been suggested.""",no,,,,
20050809_195_4,MR. SANTOMERO.,"""That's the only issue that I would address.""",yes,no,,,
20060629_82_1,MR. FISHER.,"""Well, actually we have that on our website, Mr. Chairman.""",no,,,,
20060920_38_1,MR. KOS.,"""I was willing to go that far.""",no,,,,
