Participant Number,Track ID,Full Text ,Positive,Favourite,Negative,Familiar,Unfamiliar,Musical Expressive Characteristics,Lyrics,Musical Meaning,Bass Line,Beat,Hook ,Instrumentation,Melody,Performer,Production,Rhythm,Riffs-Ornamentation,Song Structure/Composition,Sound ,Style,Tempo ,Vocals,Album,Artist ,Era ,Genre,Version,Other Forms of Media,Film,Music Video ,Musical,Playlist,Television,Memory,Discovery,Emotion,Event/Concert,Personal Event,Vacation,Place ,Time or Stage in Life,Girft/Recommendation ,Rediscovery,Reminisce- Nostalgia,Personal Performance ,People,Being Alone,Family ,Friends,Loss of a person,Romantic relationship,Recommendation from Friend/Family ,Accompaniment,Dancing,Driving ,Exercising ,Partying ,Singing ,Sleeping ,Walking ,Working ,Imagination,Season/time of day/weather,Christmas,Summer,Create Atmosphere,Change Mood,Stress/Frustration/Tension,Calm,Energy,Happiness-good mood,Motivation/focus,Sadness,Match Mood,No relationship,Participating in the study 
54,b,Urgh. Not this again. I think Emeli Sande has an amazing voice and downloaded her whole album when it first came out. Unfortunately this song happened to be on it. I just think it's her worst track and find it particularly annoying. Mostly because the lyrics are rubbish. No. Not unless you count skipping it as a relationship.,,,Urgh. Not this again./ Unfortunately this song happened to be on it. I just think it's her worst track and find it particularly annoying./  Mostly because the lyrics are rubbish ,,,, Mostly because the lyrics are rubbish,,,,,,, I think Emeli Sande has an amazing voice and downloaded her whole album when it first came out,,,,,,,,, I think Emeli Sande has an amazing voice and downloaded her whole album when it first came out, I think Emeli Sande has an amazing voice and downloaded her whole album when it first came out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Not unless you count skipping it as a relationship.,
55,a,"The group, dancing./Chosen and added by my daughters./Because it's cheerful./No",,,,,,Because it's cheerful ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Because it's cheerful.,,"The group, dancing",,,,,,,,,,"The group, dancing/ Chosen and added by my daughters.","The group, dancing",,,,,"The group, dancing",,,,,,,,,,,,,,,,,,,,,No,
55,b,"A friend from many years ago, who I don't see now.\It's on an album which has some cracking songs on by this band.\Because it's a bit wild.\Yes, a little bit. Because it reminds me of a previous lifestyle from when I was younger.",,,,,,Because it's a bit wild,,,,,,,,,,,,,,,,,It's on an album which has some cracking songs on by this band.,It's on an album which has some cracking songs on by this band.,,,,,,,,,,,,,,,,,"\Yes, a little bit. Because it reminds me of a previous lifestyle from when I was younger.",,,,,,,,"A friend from many years ago, who I don't see now.",,,,,,,,,,,,,,,,,,,,,,,,,,,
56,a,"It's a great song by a band from near where I grew up. It's a pretty 'rocking' tune. It's a good song. It feels good to support a band from near my home town.  It has all the hallmarks of the kind of music I listened to a lot growing up and still really appreciate. It has a whole lot of 'drive'.  Yes, but not so much with the track but the band in general. Their progress/success co-incided with a lot of my own personal development over the last couple of years so in some ways their music (including this track) has been a soundtrack to that. ",It's a great song by a band from near where I grew up. / It's a good song /  It feels good to support a band from near my home town. /  It has all the hallmarks of the kind of music I listened to a lot growing up and still really appreciate,,,,, It's a pretty 'rocking' tune.  It has a whole lot of 'drive'.,, Their progress/success co-incided with a lot of my own personal development over the last couple of years so in some ways their music (including this track) has been a soundtrack to that. ,,,,,,,,,, It has all the hallmarks of the kind of music I listened to a lot growing up and still really appreciate,It's a pretty 'rocking' tune.  /  It has a whole lot of 'drive'.,,,,,"It's a great song by a band from near where I grew up.  /  It feels good to support a band from near my home town.  / Yes, but not so much with the track but the band in general./  Their progress/success co-incided with a lot of my own personal development over the last couple of years so in some ways their music (including this track) has been a soundtrack to that. ",,,,,,,,,,,,,,,,It's a great song by a band from near where I grew up. /  It feels good to support a band from near my home town. , It has all the hallmarks of the kind of music I listened to a lot growing up and still really appreciate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,b," I love the over all feel of the track. I choose to save the track as part of my research into 'Tango', in order to gain more musical skills and a greater repertoire.   I think it is something to do with tracks specific musical qualities, being very rhythmical and with some great chords combined with the fact it is different to the usual repertoire of tunes I listen to. I don't really have a specific relationship with the track. Perhaps, the track is part of a greater relationship with music? I often look into other types of music for my own musical development so there is an interesting element of 'challenge' in my short-term relationship with the track.  "," I love the over all feel of the track, I think it is something to do with tracks specific musical qualities, being very rhythmical and with some great chords combined with the fact it is different to the usual repertoire of tunes I listen to",,,,,,,,,,,,,,," I think it is something to do with tracks specific musical qualities, being very rhythmical and with some great chords combined with the fact it is different to the usual repertoire of tunes I listen to. ",," I think it is something to do with tracks specific musical qualities, being very rhythmical and with some great chords combined with the fact it is different to the usual repertoire of tunes I listen to. "," I love the over all feel of the track./  I think it is something to do with tracks specific musical qualities, being very rhythmical and with some great chords combined with the fact it is different to the usual repertoire of tunes I listen to. ",,,,,,," I choose to save the track as part of my research into 'Tango', in order to gain more musical skills and a greater repertoire. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't really have a specific relationship with the track. Perhaps, the track is part of a greater relationship with music? I often look into other types of music for my own musical development so there is an interesting element of 'challenge' in my short-term relationship with the track.  ",
57,a,"Yay, I love this song! Green Day is one of my favorite bands so I have most of their songs saved to my phone It has a really good beat No","Yay, I love this song! / It has a really good beat", Green Day is one of my favorite bands so I have most of their songs saved to my phone,,,,,,,,It has a really good beat,,,,,,,,,,,,,, Green Day is one of my favorite bands so I have most of their songs saved to my phone,,,,,,,, Green Day is one of my favorite bands so I have most of their songs saved to my phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
57,b,"That's an awesome song Because it is one of my favourites Because its fun to sing along to Yes, i like to listen to it when i am not stressed out for the irony",That's an awesome song, Because it is one of my favourites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Because its fun to sing along to ,,,,,,,,,,,,,,,," Yes, i like to listen to it when i am not stressed out for the irony",,
58,a,Listening to the cure with my mum Makes me happy Reminds me of my mum Yes it reminds me of when i was little ,,,,,,,,,,,,,,,,,,,,,,,,Listening to the cure with my mum ,,,,,,,,,,,,,,,,,Yes it reminds me of when i was little ,,,,,,,Listening to the cure with my mum / Reminds me of my mum,,,,,,,,,,,,,,,,,,,,,,,Makes me happy,,,,,
58,b,School Makes me happy Reminds me of being in school with my friends Yeah it reminds me of school and old friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School / Reminds me of being in school with my friends Yeah it reminds me of school and old friends,,,,,,,,Reminds me of being in school with my friends Yeah it reminds me of school and old friends,,,,,,,,,,,,,,,,,,,,,,Makes me happy,,,,,
59,a,"Movies/Good beat/It reminds me of similar Fluke tracks/No,  it doesn't remind me of a specific time, it's just a track I found and enjoyed.","Good beat / No,  it doesn't remind me of a specific time, it's just a track I found and enjoyed.",,,,,,,,,Good beat,,,,,,,,,,,,,,/It reminds me of similar Fluke tracks/,,,,,Movies,,,,,,"No,  it doesn't remind me of a specific time, it's just a track I found and enjoyed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No,  it doesn't remind me of a specific time, it's just a track I found and enjoyed.",
59,b,"Dancing\Reminds me of skiing\Reminds me of an amazing ski trip \No,  it's more about the memories it brings than the track itself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No,  it's more about the memories it brings than the track itself.",Reminds me of skiing\Reminds me of an amazing ski trip ,,,,,,,,,,,,,,,Dancing,,,,,,,,,,,,,,,,,,,,,"No,  it's more about the memories it brings than the track itself.",
60,a,"The track makes me feel happy and looking forward to bright memories and what I have to look forward to. It also makes me think about when I discovered Against the Current when they supported All Time Low./I like how the lyrics about there being something beautiful hiding the shadows and the focus on  being optimistic. Chrissy Constanza's voice is exceptional./The song makes me feel happy./The track makes me think of a great night when I saw All Time Low, Good Charlotte and Against the Current in Birmingham with my brother, the weekend when he visited from uni and before I moved to Lancashire.",I like how the lyrics about there being something beautiful hiding the shadows and the focus on  being optimistic. Chrissy Constanza's voice is exceptional.,,,,,,I like how the lyrics about there being something beautiful hiding the shadows and the focus on  being optimistic. Chrissy Constanza's voice is exceptional.,I like how the lyrics about there being something beautiful hiding the shadows and the focus on  being optimistic. ,,,,,,,,,,,,,,I like how the lyrics about there being something beautiful hiding the shadows and the focus on  being optimistic. Chrissy Constanza's voice is exceptional.,,"The track makes me feel happy and looking forward to bright memories and what I have to look forward to. It also makes me think about when I discovered Against the Current when they supported All Time Low/ I like how the lyrics about there being something beautiful hiding the shadows and the focus on  being optimistic. Chrissy Constanza's voice is exceptional./ The track makes me think of a great night when I saw All Time Low, Good Charlotte and Against the Current in Birmingham with my brother, the weekend when he visited from uni and before I moved to Lancashire.",,,,,,,,,,The track makes me feel happy and looking forward to bright memories and what I have to look forward to. It also makes me think about when I discovered Against the Current when they supported All Time Low,The track makes me feel happy and looking forward to bright memories and what I have to look forward to. It also makes me think about when I discovered Against the Current when they supported All Time Low,,,"think of a great night when I saw All Time Low, Good Charlotte and Against the Current in Birmingham with my brother, the weekend when he visited from uni and before I moved to Lancashire.",,,,,,,,,,"The track makes me think of a great night when I saw All Time Low, Good Charlotte and Against the Current in Birmingham with my brother, the weekend when he visited from uni and before I moved to Lancashire.",,,,,,,,,,,,,,,,,,,,,,,The track makes me feel happy and looking forward to bright memories and what I have to look forward to. It also makes me think about when I discovered Against the Current when they supported All Time Low/ The song makes me feel happy./,,,,,
60,b,"Desiring to get lost in thoughts of a faraway place like the moon.\Waterparks play unique songs and the album Double Dare is one of those albums where each track is different.\Awsten Knight is gifted with a high energy voice and I like the idea of being so happy that you feel like you are lost in heaven. It is up beat and uplifting.\Yes, the song makes me think about pursuing hope and being on a journey to then get to a place where you feel happy. Waterparks have three EPs and released an impressive album at the end of last year. They are achieving their dreams and do not want to stop there. Awsten Knight wants to illustrate children's books and Otto want to get better at unicycling.",,,,,,uplifting,,"Desiring to get lost in thoughts of a faraway place like the moon./ Awsten Knight is gifted with a high energy voice and I like the idea of being so happy that you feel like you are lost in heaven. / Yes, the song makes me think about pursuing hope and being on a journey to then get to a place where you feel happy",,It is up beat and uplifting,,,,Awsten Knight is gifted with a high energy voice and I like the idea of being so happy that you feel like you are lost in heaven. I,,,,,,,,,\Waterparks play unique songs and the album Double Dare is one of those albums where each track is different./  Waterparks have three EPs and released an impressive album at the end of last year. They are achieving their dreams and do not want to stop there. Awsten Knight wants to illustrate children's books and Otto want to get better at unicycling.,\Waterparks play unique songs and the album Double Dare is one of those albums where each track is different./ Awsten Knight is gifted with a high energy voice and I like the idea of being so happy that you feel like you are lost in heaven. /  Waterparks have three EPs and released an impressive album at the end of last year. They are achieving their dreams and do not want to stop there. Awsten Knight wants to illustrate children's books and Otto want to get better at unicycling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desiring to get lost in thoughts of a faraway place like the moon,,,,,,,,,It is up beat and uplifting,,,,,
61,a,"Cheery, happy, driving Because I like the song, I like old songs Happy tune, nice song No","Because I like the song, I like old songs/  Happy tune, nice song",,,,,"Cheery, happy, driving, happy tune ",,,,,,," Happy tune, nice song",,,,,,,,,,,,"Because I like the song, I like old songs ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheery, happy, driving",,,,,,,,,,,,,,,,,,,,No,
61,b,"Happy, sing along, driving, childhood Like the song, happy song, put it on when getting ready or driving Catchy, like the song and beat Yes, just heard it a lot when I was younger been driven around in the car"," Like the song, happy song, put it on when getting ready or driving/ Catchy, like the song and beat",,,"Yes, just heard it a lot when I was younger been driven around in the car",,"Catchy, like the song and beat, catchy song, happy song",,,,"Catchy, like the song and beat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Happy, sing along, driving, childhood / Yes, just heard it a lot when I was younger been driven around in the car",,,,,,,,,,,,,,"Happy, sing along, driving, childhood /  Like the song, happy song, put it on when getting ready or driving",,,"Happy, sing along, driving, childhood ",,,,,,,,,,,,,,,,,,
62,a,"Reading festival /Playlist for background music /Upbeat, catchy and great guitar riffs/Yes - takes me back to summer and festivals","Upbeat, catchy and great guitar riffs",,,,,"Upbeat, catchy ",,,,"Upbeat, catchy and great guitar riffs",,"Upbeat, catchy and great guitar riffs",,,,,"Upbeat, catchy and great guitar riffs",,,,,,,,,,,,,,,Playlist for background music ,,,,,Reading festival / Yes - takes me back to summer and festivals,,,Reading festival / Yes - takes me back to summer and festivals,,,,Yes-takes me back ,,,,,,,,,,,,,Reading festival,,,,,,,,Yes - takes me back to summer and festivals,,,,,,,,,,,
62,b,To turn it off \Gathering the others liked it \Boring same generic arctic monkeys song as every other \No- don't like arctic monkeys,,,To turn it off / Gathering the others liked it \Boring same generic arctic monkeys song as every other \No- don't like arctic monkeys,,, Boring same generic arctic monkeys song as every other ,,,,,,,,,,,,,,,,,,Boring same generic arctic monkeys song as every other \No- don't like arctic monkeys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\No- don't like arctic monkeys,
63,a,"Remembering when my friend introduced me to the band with this song (amongst others) I enjoys listening to it but also find it a good song for motivation when exercising It is part of a great album, and is different to many other songs that I have Yes, as I remember finding out about the band and listening to their music and really enjoying it with a friend.","I enjoys listening to it but also find it a good song for motivation when exercising /  It is part of a great album, and is different to many other songs that I have / Yes, as I remember finding out about the band and listening to their music and really enjoying it with a friend.",,,,,,,,,,,,,,,,,,,,,," It is part of a great album, and is different to many other songs that I have","Remembering when my friend introduced me to the band with this song (amongst others) / Yes, as I remember finding out about the band and listening to their music and really enjoying it with a friend.",,,,,,,,,,,"Remembering when my friend introduced me to the band with this song (amongst others) / Yes, as I remember finding out about the band and listening to their music and really enjoying it with a friend.",,,,,,,,,,,,,,"Remembering when my friend introduced me to the band with this song (amongst others) / Yes, as I remember finding out about the band and listening to their music and really enjoying it with a friend.",,,Remembering when my friend introduced me to the band with this song (amongst others) ,,,,I enjoys listening to it but also find it a good song for motivation when exercising ,,,,,,,,,,,,,,,,I enjoys listening to it but also find it a good song for motivation when exercising ,,,,
63,b,"Jealousy, I know people who have seen the band live and I missed out As part of a great album that I can listen to at any time I enjoy listening to the track as part of the appreciation for the band, the song itself is good but nothing special Not really, it doesnt stir up any emotions of attachment or sentimentality"," I enjoy listening to the track as part of the appreciation for the band, the song itself is good but nothing special",," I enjoy listening to the track as part of the appreciation for the band, the song itself is good but nothing special",,,Jealousy ,,,,,,,,,,,,,,,,, As part of a great album that I can listen to at any time,"Jealousy, I know people who have seen the band live and I missed out/  I enjoy listening to the track as part of the appreciation for the band, the song itself is good but nothing special",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Not really, it doesnt stir up any emotions of attachment or sentimentality",
64,a,"I feel like dancing. But why did I add this to my playlist? I just heard it and fancied hearing it again. Simple poppy song. No. I don't really know the band, quite like their songs and am more or less (though not entirely) over the idea that they're crap because they're disposable, so I should be a bit ashamed of liking them. I'm not ashamed. Not much.",so I should be a bit ashamed of liking them. I'm not ashamed. Not much.,,so I should be a bit ashamed of liking them. I'm not ashamed. Not much.,,"No. I don't really know the band, quite like their songs and am more or less (though not entirely) over the idea that they're crap because they're disposable, so I should be a bit ashamed of liking them.", Simple poppy song.,,,,,,,,,,,,,,Simple poppy song.,,,,"No. I don't really know the band, quite like their songs and am more or less (though not entirely) over the idea that they're crap because they're disposable, so I should be a bit ashamed of liking them.",,Simple poppy song.,,,,,, But why did I add this to my playlist? I just heard it and fancied hearing it again.,,,,,,,,,,,,,,,,,,,,,,I feel like dancing. ,,,,,,,,,,,,,,,,,,,,,"No. I don't really know the band, quite like their songs and am more or less (though not entirely) over the idea that they're crap because they're disposable, so I should be a bit ashamed of liking them.",
64,b,"Woo-ooo-ooo-oooooh (which is the first line. I don't know much about this song). I don't remember, other than liking it. Normally I browse new music via Spotify playlists (esp. BBC radio 6, though this didn't come from there) and add the ones I like. This probably came from a dance mix. Simple happy sound. No. It doesn't remind me of anything, I just like it."," I don't remember, other than liking it./  No. It doesn't remind me of anything, I just like it.",,,,"Woo-ooo-ooo-oooooh (which is the first line. I don't know much about this song). I don't remember, other than liking it. ",,Woo-ooo-ooo-oooooh (which is the first line. I don't know much about this song),,,,,,,,,,,,Simple happy sound. ,,,,,,,,,,,,," Normally I browse new music via Spotify playlists (esp. BBC radio 6, though this didn't come from there) and add the ones I like. This probably came from a dance mix. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," No. It doesn't remind me of anything, I just like it.",
65,a,"Driving too fast/It's on my gym playlist, it has a good beat and I love the lyrics./I love the lyrics and enjoy Ed Sheeran's music./Yes. I can relate to much of what it said in the lyrics. It takes me back to a time in my life.","It's on my gym playlist, it has a good beat and I love the lyrics./ I love the lyrics and enjoy Ed Sheeran's music",,,,,,"It's on my gym playlist, it has a good beat and I love the lyrics./ I love the lyrics and enjoy Ed Sheeran's music / Yes. I can relate to much of what it said in the lyrics. ",Yes. I can relate to much of what it said in the lyrics. ,,"It's on my gym playlist, it has a good beat and I love the lyrics./",,,,,,,,,,,,,,I love the lyrics and enjoy Ed Sheeran's music,,,,,,,,"It's on my gym playlist, it has a good beat and I love the lyrics./",,,,,,,,,It takes me back to a time in my life.,,, It takes me back to a time in my life.,,,,,,,,,,,Driving too fast,"It's on my gym playlist, it has a good beat and I love the lyrics./",,,,,,,,,,,,,,,,,,,,
65,b,"Karaoke as a drunk teen!\Happy memories \It makes me sing aloud. This doesn't make anyone else happy as I can't sing in tune, but I love to sing this song really loud! \I associate many memories with this song. It makes me think of people I haven't seen in years and I can taste vodka and black currant when I really listen. Oh happy karaoke days....",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happy memories,,,,,Karaoke as a drunk teen!,,,,,I associate many memories with this song. It makes me think of people I haven't seen in years and I can taste vodka and black currant when I really listen. Oh happy karaoke days....,,,I associate many memories with this song. It makes me think of people I haven't seen in years and I can taste vodka and black currant when I really listen. Oh happy karaoke days....,,,,,,,,,"\It makes me sing aloud. This doesn't make anyone else happy as I can't sing in tune, but I love to sing this song really loud! ",,,,and I can taste vodka and black currant when I really listen,,,,,,,,,,,,,,
66,a,Brilliance To feel brilliance Enjoy feeling the superb technicality to be connected to superb interpretation Like to feel it, Enjoy feeling the superb technicality to be connected to superb interpretation,,,,,Brilliance To feel brilliance Enjoy feeling the superb technicality to be connected to superb interpretation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brilliance /To feel brilliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,b,The combined greatness of Sibelius and Mullova to enjoy it Feel the combined and matched greatness of the composer and the interpreter I like to listen and feel the music , I like to listen and feel the music ,,,,,,,,,,,,,,,,,,,,,,,The combined greatness of Sibelius and Mullova to enjoy it/ Feel the combined and matched greatness of the composer and the interprete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,a,"I remember really liking this song when it came out and dancing to it  It has a good beat and is enjoyable to listen to when walking around campus  I like the tune and the beat - it makes me feel happy  Yes - it takes me back to the time when I first heard it and I enjoy memories of last year. Also, my husband and I enjoy the Sean Paul aspects of the song and we usually sing along to it together. ","I remember really liking this song when it came out and dancing to it /  It has a good beat and is enjoyable to listen to when walking around campus / I like the tune and the beat - it makes me feel happy  /   Yes - it takes me back to the time when I first heard it and I  Yes - it takes me back to the time when I first heard it and I enjoy memories of last yearmemories of last year/  Also, my husband and I enjoy the Sean Paul aspects of the song and we usually sing along to it together. ",,,,,,,,, It has a good beat and is enjoyable to listen to when walking around campus / I like the tune and the beat - it makes me feel happy  ,,,I like the tune and the beat - it makes me feel happy  ,,,,,,,,,,," Also, my husband and I enjoy the Sean Paul aspects of the song and we usually sing along to it together. ",,,,,,,,,,,  Yes - it takes me back to the time when I first heard it and I enjoy memories of last year,,,,, It has a good beat and is enjoyable to listen to when walking around campus ,I remember really liking this song when it came out and dancing to it /   Yes - it takes me back to the time when I first heard it and I enjoy memories of last year,,, it takes me back to the time when I first heard it and I enjoy memories of last year,,,,,,,"Also, my husband and I enjoy the Sean Paul aspects of the song and we usually sing along to it together. ",,,I remember really liking this song when it came out and dancing to it ,,,," Also, my husband and I enjoy the Sean Paul aspects of the song and we usually sing along to it together. ",, It has a good beat and is enjoyable to listen to when walking around campus ,,,,,,,,,,,I like the tune and the beat - it makes me feel happy  ,,,,,
67,b,"Sitting on the train and listening to this song on the way home from school  It's a song that I have liked for a few years and it makes me feel emotional -  I tend to play it when I am feeling sad and it comforts me It's got a smooth tune and it is emotional (in a good way) Yes - it is a song that I used to listen to during a difficult period in my life: I feel quite emotional when I listen to it (sometimes in a good way, sometimes in a bad way). ",,,,"It's a song that I have liked for a few years and it makes me feel emotional -/ Yes - it is a song that I used to listen to during a difficult period in my life: I feel quite emotional when I listen to it (sometimes in a good way, sometimes in a bad way). ",,,,"It's got a smooth tune and it is emotional (in a good way) / Yes - it is a song that I used to listen to during a difficult period in my life: I feel quite emotional when I listen to it (sometimes in a good way, sometimes in a bad way). ",,,,,,,,,,,It's got a smooth tune and it is emotional (in a good way) ,,,,,,,,,,,,,,,,,,,,,,"Yes - it is a song that I used to listen to during a difficult period in my life: I feel quite emotional when I listen to it (sometimes in a good way, sometimes in a bad way). ",,,,,,,,,,,,Sitting on the train and listening to this song on the way home from school ,,,,,,,,,,,,,,"It's a song that I have liked for a few years and it makes me feel emotional -/ Yes - it is a song that I used to listen to during a difficult period in my life: I feel quite emotional when I listen to it (sometimes in a good way, sometimes in a bad way). ",,,,,,,I tend to play it when I am feeling sad and it comforts me ,,
68,a,"Summer Vibes Upbeat fun song that makes me want to dance like it's summertime even if it's raining outside It's fun Yes, i've got very positive connotations associated with it, trips to the beach, hanging out with friends just good fun memories",,,,,,Upbeat fun song,,,,Upbeat fun song that makes me want to dance like it's summertime even if it's raining outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, i've got very positive connotations associated with it, trips to the beach, hanging out with friends just good fun memories",,,,,,,,,"Yes, i've got very positive connotations associated with it, trips to the beach, hanging out with friends just good fun memories",,,,,Upbeat fun song that makes me want to dance like it's summertime even if it's raining outside,,,,,,,,,,,Summer Vibes/ Upbeat fun song that makes me want to dance like it's summertime even if it's raining outside,,,,,,,,,,,
68,b,"Painting during my Gap Year I have a not so secret love for Justin Bieber and this track is just so good Good beat, the time just flies when you have good tracks to listen to Yes, it reminds me of painting bathrooms with my gap buddy singing at the top of our lungs and dancing around. "," I have a not so secret love for Justin Bieber and this track is just so good/ Good beat, the time just flies when you have good tracks to listen to ",,,,,,,,,"Good beat, the time just flies when you have good tracks to listen to",,,,,,,,,,,,,, I have a not so secret love for Justin Bieber and this track is just so good ,,,,,,,,,,,,,,,,,Painting during my Gap Year,,,,,,,,"Yes, it reminds me of painting bathrooms with my gap buddy singing at the top of our lungs and dancing around. ",,,,,"Yes, it reminds me of painting bathrooms with my gap buddy singing at the top of our lungs and dancing around. ",,,,"Yes, it reminds me of painting bathrooms with my gap buddy singing at the top of our lungs and dancing around. ",,,"Yes, it reminds me of painting bathrooms with my gap buddy singing at the top of our lungs and dancing around. ",,,,,,,,,,,,,,,
69,a,"reminds me of seeing them live i like the song and my friend introduced me to this band so it reminds me of them i love the band and think its one of their best songs yes, it reminds me of when i saw the band live, and my friend who introduced me to them",i like the song and my friend introduced me to this band so it reminds me of them / i love the band and think its one of their best songs,,,,,,,,,,,,,,,,,,,,,,,reminds me of seeing them live / and my friend introduced me to this band so it reminds me of them / i love the band and think its one of their best songs,,,,,,,,,,,,,"reminds me of seeing them live / yes, it reminds me of when i saw the band live, and my friend who introduced me to them",,,,,,,,,,,,"and my friend introduced me to this band so it reminds me of them / yes, it reminds me of when i saw the band live, and my friend who introduced me to them",,,"and my friend introduced me to this band so it reminds me of them / yes, it reminds me of when i saw the band live, and my friend who introduced me to them",,,,,,,,,,,,,,,,,,,,,,,,
69,b,"Seeing the band live I used to love this band in high school, and listening to old songs i used to like is easy listening for me  I neither enjoy nor not enjoy this track, probably just because there are songs i like more and would rather listen to on my playlist.  yes, it reminds me of when i was in high school and big groups of my friends would go to gigs of this band"," I used to love this band in high school, and listening to old songs i used to like is easy listening for me",," I neither enjoy nor not enjoy this track, probably just because there are songs i like more and would rather listen to on my playlist. ",,,,,,,,,,,,,,,,,,,,,"Seeing the band live/ yes, it reminds me of when i was in high school and big groups of my friends would go to gigs of this band",,,,,,,,,,,,,Seeing the band live,,,," I used to love this band in high school, and listening to old songs i used to like is easy listening for me/ yes, it reminds me of when i was in high school and big groups of my friends would go to gigs of this band",,,,,,,,"yes, it reminds me of when i was in high school and big groups of my friends would go to gigs of this band",,,,,,,,,,,,,,,,,,,,,,,,,,,
70,a,The patriarchy. (The album the song's from has a song called 'patriarchaeth' on it) I saved the full album. Gwenno is a really interesting artist making modern electronic synthy stuff but singing in Welsh. It's a bit different and quite fun.  It's got lots of cool swirly synth sounds and dulcet welsh vocals Not really. It's from an album I like but nothing more than that., Gwenno is a really interesting artist making modern electronic synthy stuff but singing in Welsh. /  It's a bit different and quite fun./   It's got lots of cool swirly synth sounds and dulcet welsh vocals / Not really. It's from an album I like but nothing more than that.,,,,,It's a bit different and quite fun., Gwenno is a really interesting artist making modern electronic synthy stuff but singing in Welsh.,,,,,,,,,,,,  It's got lots of cool swirly synth sounds and dulcet welsh vocals,,,  It's got lots of cool swirly synth sounds and dulcet welsh vocals,(The album the song's from has a song called 'patriarchaeth' on it) /  I saved the full album. / Not really. It's from an album I like but nothing more than that., Gwenno is a really interesting artist making modern electronic synthy stuff but singing in Welsh.,, Gwenno is a really interesting artist making modern electronic synthy stuff but singing in Welsh.,,,,,, I saved the full album.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not really. It's from an album I like but nothing more than that.,
70,b,Space (the album cover) It came on my discover weekly and I really enjoyed it It's got an anthemic feel to it whilst sounding modern and having some nice weird synth noises No. It came on my discover weekly and I've added it to a couple of playlists but it doesn't particularly mean anything to me,It came on my discover weekly and I really enjoyed it ,,,,,,,,,,, It's got an anthemic feel to it whilst sounding modern and having some nice weird synth noises ,,,,,,, It's got an anthemic feel to it whilst sounding modern and having some nice weird synth noises ,,,,Space (the album cover) ,,,,,,,,, No. It came on my discover weekly and I've added it to a couple of playlists but it doesn't particularly mean anything to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, No. It came on my discover weekly and I've added it to a couple of playlists but it doesn't particularly mean anything to me,
